lncRNA.Canis_lupus_familiaris	lncRNA.Homo_sapiens	orthology_type.Canis_lupus_familiaris.Homo_sapiens	lncRNA.Mus_musculus	orthology_type.Canis_lupus_familiaris.Mus_musculus	nbTotalIndication	profilIndication
ENSCAFG00845030542	ENSG00000256721;ENSG00000203593;ENSG00000256837	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845030545	ENSG00000256150	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845030678	ENSG00000287049	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845030686	NA	NA	ENSMUSG00000120876	one_to_one	1	one_to_one:1
ENSCAFG00845030688	ENSG00000289105	one_to_one	ENSMUSG00000107013	one_to_one	2	one_to_one:2
ENSCAFG00845030742	ENSG00000259932;ENSG00000260035	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845030744	ENSG00000259519	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845030781	NA	NA	ENSMUSG00000116951;ENSMUSG00000116581	many_to_many	1	many_to_many:1
ENSCAFG00845030802	NA	NA	ENSMUSG00000116737	many_to_one	1	many_to_one:1
ENSCAFG00845030804	NA	NA	ENSMUSG00000116951;ENSMUSG00000116581	many_to_many	1	many_to_many:1
ENSCAFG00845030807	NA	NA	ENSMUSG00000116737	many_to_one	1	many_to_one:1
ENSCAFG00845030811	NA	NA	ENSMUSG00000116951;ENSMUSG00000116581	many_to_many	1	many_to_many:1
ENSCAFG00845030878	ENSG00000236799	many_to_one	ENSMUSG00000118178;ENSMUSG00000117655	many_to_many_strict	2	many_to_many_strict:1;many_to_one:1
ENSCAFG00845030880	ENSG00000236799	many_to_one	ENSMUSG00000118178;ENSMUSG00000117655	many_to_many_strict	2	many_to_many_strict:1;many_to_one:1
ENSCAFG00845030897	NA	NA	ENSMUSG00000119973	one_to_one	1	one_to_one:1
ENSCAFG00845031023	ENSG00000261797	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845031024	NA	NA	ENSMUSG00000097563	one_to_one	1	one_to_one:1
ENSCAFG00845031055	ENSG00000285904	one_to_one	ENSMUSG00000085058	one_to_one	2	one_to_one:2
